"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|DK1","Generation - Solar  [MW] Intraday / BZN|DK1","Generation - Solar  [MW] Current / BZN|DK1","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DK1","Generation - Wind Offshore  [MW] Intraday / BZN|DK1","Generation - Wind Offshore  [MW] Current / BZN|DK1","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DK1","Generation - Wind Onshore  [MW] Intraday / BZN|DK1","Generation - Wind Onshore  [MW] Current / BZN|DK1"
"08.01.2020 10:00 - 08.01.2020 11:00","50","n/e","n/e","1108","n/e","n/e","2121","n/e","n/e"
"08.01.2020 11:00 - 08.01.2020 12:00","96","n/e","n/e","1099","n/e","n/e","2048","n/e","n/e"
"08.01.2020 12:00 - 08.01.2020 13:00","123","n/e","n/e","1084","n/e","n/e","2043","n/e","n/e"
"08.01.2020 13:00 - 08.01.2020 14:00","112","n/e","n/e","1067","n/e","n/e","2013","n/e","n/e"
"08.01.2020 14:00 - 08.01.2020 15:00","71","n/e","n/e","1043","n/e","n/e","1908","n/e","n/e"
"08.01.2020 15:00 - 08.01.2020 16:00","20","n/e","n/e","1014","n/e","n/e","1784","n/e","n/e"
"08.01.2020 16:00 - 08.01.2020 17:00","0","n/e","n/e","973","n/e","n/e","1648","n/e","n/e"
"08.01.2020 17:00 - 08.01.2020 18:00","0","n/e","n/e","911","n/e","n/e","1570","n/e","n/e"
"08.01.2020 18:00 - 08.01.2020 19:00","0","n/e","n/e","830","n/e","n/e","1481","n/e","n/e"
"08.01.2020 19:00 - 08.01.2020 20:00","0","n/e","n/e","753","n/e","n/e","1383","n/e","n/e"
"08.01.2020 20:00 - 08.01.2020 21:00","0","n/e","n/e","672","n/e","n/e","1309","n/e","n/e"
"08.01.2020 21:00 - 08.01.2020 22:00","0","n/e","n/e","595","n/e","n/e","1257","n/e","n/e"
"08.01.2020 22:00 - 08.01.2020 23:00","0","n/e","n/e","538","n/e","n/e","1175","n/e","n/e"
"08.01.2020 23:00 - 09.01.2020 00:00","0","n/e","n/e","497","n/e","n/e","1077","n/e","n/e"
"09.01.2020 00:00 - 09.01.2020 01:00","0","n/e","n/e","386","n/e","n/e","1026","n/e","n/e"
"09.01.2020 01:00 - 09.01.2020 02:00","0","n/e","n/e","367","n/e","n/e","795","n/e","n/e"
"09.01.2020 02:00 - 09.01.2020 03:00","0","n/e","n/e","272","n/e","n/e","634","n/e","n/e"
"09.01.2020 03:00 - 09.01.2020 04:00","0","n/e","n/e","300","n/e","n/e","487","n/e","n/e"
"09.01.2020 04:00 - 09.01.2020 05:00","0","n/e","n/e","223","n/e","n/e","430","n/e","n/e"
"09.01.2020 05:00 - 09.01.2020 06:00","0","n/e","n/e","190","n/e","n/e","418","n/e","n/e"
"09.01.2020 06:00 - 09.01.2020 07:00","0","n/e","n/e","110","n/e","n/e","332","n/e","n/e"
"09.01.2020 07:00 - 09.01.2020 08:00","0","n/e","n/e","116","n/e","n/e","339","n/e","n/e"
"09.01.2020 08:00 - 09.01.2020 09:00","0","n/e","n/e","273","n/e","n/e","417","n/e","n/e"
"09.01.2020 09:00 - 09.01.2020 10:00","3","n/e","n/e","518","n/e","n/e","505","n/e","n/e"
"09.01.2020 10:00 - 09.01.2020 11:00","9","n/e","n/e","679","n/e","n/e","612","n/e","n/e"
"09.01.2020 11:00 - 09.01.2020 12:00","13","n/e","n/e","840","n/e","n/e","857","n/e","n/e"
"09.01.2020 12:00 - 09.01.2020 13:00","15","n/e","n/e","928","n/e","n/e","1177","n/e","n/e"
"09.01.2020 13:00 - 09.01.2020 14:00","13","n/e","n/e","1016","n/e","n/e","1419","n/e","n/e"
"09.01.2020 14:00 - 09.01.2020 15:00","9","n/e","n/e","1075","n/e","n/e","1597","n/e","n/e"
"09.01.2020 15:00 - 09.01.2020 16:00","2","n/e","n/e","1094","n/e","n/e","1754","n/e","n/e"
"09.01.2020 16:00 - 09.01.2020 17:00","0","n/e","n/e","1093","n/e","n/e","1783","n/e","n/e"
"09.01.2020 17:00 - 09.01.2020 18:00","0","n/e","n/e","1072","n/e","n/e","1716","n/e","n/e"
"09.01.2020 18:00 - 09.01.2020 19:00","0","n/e","n/e","1030","n/e","n/e","1575","n/e","n/e"
"09.01.2020 19:00 - 09.01.2020 20:00","0","n/e","n/e","989","n/e","n/e","1417","n/e","n/e"
"09.01.2020 20:00 - 09.01.2020 21:00","0","n/e","n/e","941","n/e","n/e","1286","n/e","n/e"
"09.01.2020 21:00 - 09.01.2020 22:00","0","n/e","n/e","872","n/e","n/e","1163","n/e","n/e"
"09.01.2020 22:00 - 09.01.2020 23:00","0","n/e","n/e","777","n/e","n/e","976","n/e","n/e"
"09.01.2020 23:00 - 10.01.2020 00:00","0","n/e","n/e","656","n/e","n/e","722","n/e","n/e"
"10.01.2020 00:00 - 10.01.2020 01:00","0","n/e","n/e","617","n/e","n/e","612","n/e","n/e"
"10.01.2020 01:00 - 10.01.2020 02:00","0","n/e","n/e","558","n/e","n/e","515","n/e","n/e"
"10.01.2020 02:00 - 10.01.2020 03:00","0","n/e","n/e","541","n/e","n/e","461","n/e","n/e"
"10.01.2020 03:00 - 10.01.2020 04:00","0","n/e","n/e","360","n/e","n/e","521","n/e","n/e"
"10.01.2020 04:00 - 10.01.2020 05:00","0","n/e","n/e","277","n/e","n/e","534","n/e","n/e"
"10.01.2020 05:00 - 10.01.2020 06:00","0","n/e","n/e","226","n/e","n/e","701","n/e","n/e"
"10.01.2020 06:00 - 10.01.2020 07:00","0","n/e","n/e","492","n/e","n/e","859","n/e","n/e"
"10.01.2020 07:00 - 10.01.2020 08:00","0","n/e","n/e","698","n/e","n/e","1050","n/e","n/e"
"10.01.2020 08:00 - 10.01.2020 09:00","0","n/e","n/e","786","n/e","n/e","1156","n/e","n/e"
"10.01.2020 09:00 - 10.01.2020 10:00","3","n/e","n/e","834","n/e","n/e","1246","n/e","n/e"
"10.01.2020 10:00 - 10.01.2020 11:00","13","n/e","n/e","870","n/e","n/e","1235","n/e","n/e"
"10.01.2020 11:00 - 10.01.2020 12:00","25","n/e","n/e","915","n/e","n/e","1254","n/e","n/e"
"10.01.2020 12:00 - 10.01.2020 13:00","31","n/e","n/e","978","n/e","n/e","1362","n/e","n/e"
"10.01.2020 13:00 - 10.01.2020 14:00","28","n/e","n/e","1047","n/e","n/e","1510","n/e","n/e"
